Authors;Articles;Articles Fractionalized
MCLAIN A;2;0,34
MEI Y;2;0,23
MENG J;2;0,29
MESUERE B;2;0,07
MIURA N;2;0,56
MIZUGUCHI K;2;0,15
MORRISON M;2;0,3
MORROW C;2;0,34
MURATORE E;2;0,16
MUTH T;2;0,07
NGUYEN L;2;0,15
NGUYEN T;2;0,27
NI P;2;0,17
NICOLETTI C;2;0,08
NIELSEN J;2;0,3
NING K;2;0,27
O'CONNOR K;2;0,2
O'HALLORAN K;2;0,2
OSTERMAN A;2;0,2
PAN D;2;0,21
PAN J;2;0,13
PAN L;2;0,27
PAN S;2;0,57
PARK C;2;0,24
PARK H;2;0,29
PASOLLI E;2;0,14
PATEL S;2;0,27
PATTERSON A;2;0,29
PEI Y;2;0,15
PENG C;2;0,19
PETROSINO J;2;0,21
PI X;2;0,37
PIEPER D;2;0,2
PINTO A;2;0,28
PLOTNIKOV E;2;0,21
POGODINA A;2;0,45
POPKOV V;2;0,21
PRAST-NIELSEN S;2;0,24
PRETE A;2;0,16
PUJOS-GUILLOT E;2;0,08
QI Q;2;0,15
QIAN H;2;0,28
QIANG Y;2;0,21
QIAO J;2;0,17
QIN J;2;0,1
QIN M;2;0,18
QIU X;2;0,4
RADKA C;2;0,42
RAES J;2;0,17
REA M;2;0,27
REDDY K;2;0,4
REIMAN D;2;0,83
REN H;2;0,27
REN X;2;0,11
RHO M;2;0,83
RICHMAN J;2;0,28
RIJPKEMA S;2;0,25
ROBERTS L;2;0,13
ROBLES-VERA I;2;0,15
ROCK C;2;0,42
RODIONOV D;2;0,2
ROMERO M;2;0,15
RONG Z;2;0,14
ROY N;2;0,25
RUAN B;2;0,31
RUIZ-MORENO Á;2;0,24
RYCHKOVA L;2;0,45
SANDBORN W;2;0,13
SANKARANARAYANAN K;2;0,16
SANTORO A;2;0,08
SANTOS R;2;0,16
SCHUSTER S;2;0,17
SEVERANCE E;2;1,5
SEVERGNINI M;2;0,2
SHAH S;2;0,14
SHAO L;2;0,23
SHEN B;2;0,27
SHEN L;2;0,19
SHEN Z;2;0,29
SHIN D;2;0,33
SHU X;2;0,17
SHUWEN H;2;0,63
SINGH N;2;0,29
SONG E;2;0,44
SONG F;2;0,19
SONG W;2;0,31
SU H;2;0,35
SUN B;2;0,25
SUN D;2;0,28
SUN L;2;0,38
SUN Q;2;0,16
SUN R;2;0,19
SUNAGAWA S;2;0,25
SÁNCHEZ M;2;0,15
TAN Q;2;0,22
TANCA A;2;0,07
TEH J;2;0,14
TIAN F;2;0,17
TORAL M;2;0,15
TORRES-SÁNCHEZ A;2;0,24
USYK M;2;0,2
UZZAU S;2;0,07
VALLE G;2;0,2
VAN D B T;2;0,07
VAN L S;2;0,12
VAN R T;2;0,25
VATANEN T;2;0,25
VICH V A;2;0,15
VITAL M;2;0,2
WANG B;2;0,25
WANG R;2;0,14
WEERSMA R;2;0,15
WEI J;2;0,21
WEI X;2;0,19
WEINSTOCK G;2;0,09
WEKERLE H;2;0,52
WEN J;2;0,19
WEN L;2;0,21
WOMACK E;2;0,34
WONG G;2;0,11
WONG H;2;0,27
WONG S;2;0,34
WU G;2;0,19
WU T;2;0,2
XI Y;2;0,23
XIA J;2;0,2
XIA Z;2;0,07
XIANG B;2;0,31
XIAO B;2;0,21
XIAO C;2;0,17
XIAO J;2;0,2
XIAO S;2;0,2
XIONG W;2;0,28
XIONG Z;2;0,21
YAMAZAKI K;2;0,11
YAN F;2;0,19
YAN X;2;0,13
YANG B;2;0,22
YAO X;2;0,18
