Authors;Articles;Articles Fractionalized
BRAVO H;1;0,05
BREISTER A;1;0,11
BREJNROD A;1;0,11
BRENNER D;1;0,08
BRINK A;1;0,25
BRINKMAN F;1;0,11
BROADBENT R;1;0,11
BRODERICK D;1;0,08
BROHOLM C;1;0,08
BROK-LAURIDSEN S;1;0,17
BROOK T;1;0,08
BROOKS B;1;0,14
BROUNS S;1;0,2
BROWN I;1;0,13
BROWNE H;1;0,06
BRUBAKER D;1;0,33
BRUGERE C;1;0,03
BRUNSE A;1;0,09
BRUSHETT S;1;0,06
BRÜGGEMANN H;1;0,13
BUBIER J;1;0,06
BUCHSER W;1;0,07
BUCZYNSKA A;1;0,17
BUDKEVICH R;1;0,17
BUDOVSKAYA Y;1;0,11
BUFFINGTON S;1;0,2
BUI A;1;0,25
BUISAN C;1;0,03
BUIST G;1;0,06
BUJANDA L;1;0,05
BULIK C;1;0,17
BULLÓ M;1;0,05
BULMER A;1;0,08
BUNDGAARD-NIELSEN C;1;0,09
BURBANO R;1;0,08
BURDET C;1;0,05
BURGUETE G A;1;0,08
BURIANI A;1;0,25
BURISCH J;1;0,1
BURKEY T;1;0,09
BURNHAM P;1;0,05
BURNS D;1;0,09
BUROKAS A;1;0,25
BUSBEE P;1;0,13
BUSBY B;1;0,33
BUSH K;1;0,33
BUSI S;1;0,11
BUSTION A;1;0,2
BUTTIMER C;1;0,11
BUYON J;1;0,11
BUZA J;1;0,09
BYTZER P;1;0,09
BÉNARD A;1;0,08
CABEZAS-CRUZ A;1;0,13
CABRERA D;1;0,05
CABRERA-JORGE F;1;0,1
CADDEO G;1;0,06
CADERNI G;1;0,06
CADWELL K;1;0,05
CAI C;1;0,1
CAI H;1;0,06
CAI L;1;0,08
CAI P;1;0,2
CAI S;1;0,14
CAI X;1;0,17
CAI Z;1;0,11
CAILLIER S;1;0,02
CAIM S;1;0,08
CAKMAK B;1;0,05
CALDERS P;1;0,11
CALDERÓN D L B A;1;0,07
CALL D;1;0,09
CALLAWAY L;1;0,17
CALUSINSKA M;1;0,11
CAMELLI V;1;0,08
CAMERON S;1;0,04
CAMERON-SMITH D;1;0,05
CAMINO A;1;0,13
CAMPANARO S;1;0,11
CAMPBELL J;1;0,06
CAMPOLO M;1;0,11
CANALS S;1;0,33
CANGÜR ?;1;0,14
CANIZALES-QUINTEROS S;1;0,07
CANLET C;1;0,06
CANN I;1;0,07
CANO-ORTIZ A;1;0,11
CANTONI C;1;0,05
CANTONI D;1;0,13
CAO D;1;0,14
CAO P;1;0,06
CAO S;1;0,09
CAO X;1;0,2
CAPORASO J;1;0,08
CAPRI M;1;0,03
CARABIN H;1;0,07
CARBO J;1;0,05
CARDENAS J;1;0,11
CARDENAS-GARCIA S;1;0,1
CARDILLI A;1;0,1
CAREDDA G;1;0,06
CARGUA O;1;0,11
CARISSIMI C;1;0,17
CARLSON S;1;0,08
CARMODY R;1;0,5
CARNACCINI S;1;0,1
CARNACHAN S;1;0,11
CARRARA G;1;0,07
CARRINGTON M;1;0,08
CARTER K;1;0,08
CARTER M;1;0,11
CARUSO D;1;0,06
CARYCHAO D;1;0,11
CASILI G;1;0,11
CASSIDY A;1;0,03
CASSOTTA M;1;0,14
CASTAÑEDA-MÁRQUEZ A;1;0,08
CASTAÑER O;1;0,05
CASTELLANA S;1;0,06
CASTILLO-TRIVIÑO T;1;0,02
CASTRO M;1;0,2
CASTRO M J;1;0,09
CASULA E;1;0,08
CATAPANO A;1;0,06
CATTANE N;1;0,03
CATTANEO A;1;0,03
CAUDELL M;1;0,09
CAUDULLO G;1;0,25
CAUQUIL L;1;0,06
CAVIGLIA G;1;0,07
CECCARANI C;1;0,14
CECENER G;1;0,13
CECIL C;1;0,03
CELLINI M;1;0,08
CENTANNI M;1;0,11
CESARO S;1;0,06
CHAHBOUNE R;1;0,11
CHAI X;1;0,11
CHAI Y;1;0,33
CHAMBA Y;1;0,14
CHAN F;1;0,06
CHAN L;1;0,07
CHAN M;1;0,09
CHAN S;1;0,07
CHAN Y;1;0,2
CHANDRAN S;1;0,02
CHANDRAPALAN S;1;0,11
CHANES V;1;0,05
CHANG E;1;0,33
CHANG J;1;0,03
CHANG M;1;0,11
CHANG P;1;0,14
CHANG S;1;0,14
CHANIN R;1;0,09
CHAO G;1;0,5
CHAO L;1;0,08
CHAO X;1;0,17
CHARLES I;1;0,17
CHASSAING B;1;0,09
CHATTERJEE S;1;0,05
CHATZIIOANNOU A;1;0,11
CHAU E;1;0,07
CHAU L;1;0,07
CHAUDHARY P;1;0,09
CHE J;1;0,05
CHE K;1;0,1
CHEE M;1;0,11
CHEKO J;1;0,06
CHELSKY D;1;0,13
CHENG D;1;0,1
CHENG I;1;0,07
CHENG L;1;0,2
CHENG R;1;0,13
CHENG T;1;0,13
CHEON B;1;0,09
CHEONG H;1;0,08
CHEONG I;1;0,13
CHEONG Y;1;0,17
CHER A;1;0,11
CHERIF A;1;0,09
CHERNEVSKAYA E;1;0,08
CHESLER E;1;0,06
CHEVILLOT A;1;0,13
CHI H;1;0,11
CHI J;1;0,1
CHI L;1;0,17
CHIANG W;1;0,13
CHIAVAROLI V;1;0,05
CHIFIRIUC M;1;0,2
CHIJIIWA R;1;0,13
CHIKINDAS M;1;0,11
CHIN S;1;0,2
CHIN V;1;0,17
CHITNIS T;1;0,02
CHIU Y;1;0,14
CHO B;1;0,04
CHO M;1;0,08
CHO S;1;0,33
CHOI E;1;0,17
CHOI Y;1;0,25
CHONG C;1;0,2
CHONG G;1;0,08
CHONG H;1;0,2
CHONG M;1;0,07
CHONG N;1;0,1
CHONG P;1;0,17
CHONG R;1;0,1
CHONG Y;1;0,07
CHOPRA H;1;0,06
CHOU D;1;0,1
CHOU S;1;0,11
CHOW B;1;0,09
CHOW K;1;0,06
CHOY C;1;0,07
CHOY J;1;0,11
CHRUDINOVA M;1;0,07
CHU M;1;0,09
CHU Z;1;0,17
CHUA K;1;0,05
CHUKLO A;1;0,17
CHUN W;1;0,17
CHUNG F;1;0,2
CHUNG H;1;0,04
CHUNG S;1;0,08
CHUNG T H;1;0,5
CI C;1;0,08
CIBELLA J;1;0,06
CIBOROWSKI M;1;0,17
CIERNIKOVA S;1;0,08
CLAIRE G L;1;0,1
CLANCY R;1;0,11
CLARAZ P;1;0,09
CLARE S;1;0,07
CLARK M;1;0,08
CLARK R;1;0,14
CLARKE P;1;0,08
CLEVERS E;1;0,1
CLOER E;1;0,09
CLOS-GARCIA M;1;0,05
CLÉMENT K;1;0,05
COAD J;1;0,2
COBOS-QUEVEDO O;1;0,1
COCHRANE G;1;0,03
COCOLIN L;1;0,07
COHEN D;1;0,07
COHEN H;1;0,11
COLADONATO S;1;0,08
COLEMAN S;1;0,25
COLLADO M;1;0,25
COLLARD J;1;0,05
COLLIJ V;1;0,07
COLLINS J;1;0,11
COMAZZI I;1;0,07
COMBES S;1;0,06
COMINELLI F;1;0,07
CONCHA-RUBIO N;1;0,2
CONN K;1;0,08
CONNICK P;1;0,02
CONNORS B;1;0,14
CONSOLANDI C;1;0,06
CONSTANTINOU C;1;0,33
CONWAY P;1;0,09
COOLEY M;1;0,11
COOPER G;1;0,2
COPE E;1;0,08
COPELAND V;1;0,33
COPPARI S;1;0,11
CORBO M;1;0,06
CORDERO F;1;0,08
CORELLA D;1;0,05
CORNBERG M;1;0,08
CORREALE J;1;0,02
CORTES L;1;0,13
CORTÉS A;1;0,07
COSTA T;1;0,07
COSTANTINI M;1;0,25
COSTE V;1;0,09
COSTEA P;1;0,14
COTO E;1;0,11
COTO-SEGURA P;1;0,11
COULTER I;1;0,1
COUSINS J;1;0,17
COUTO N;1;0,06
COWLEY E;1;0,11
COX A;1;0,2
COX E;1;0,06
COX L;1;0,02
COY C;1;0,11
CRAFT S;1;0,17
CRAMPTON L;1;0,25
CRANE R;1;0,13
CRAWFORD C;1;0,05
CRAWFORD J;1;0,5
CREE B;1;0,02
CRESWELL R;1;0,14
CRIPPS A;1;0,2
CRISPIE F;1;0,11
CROSS A;1;0,05
CROWGEY E;1;0,25
CRUZ M;1;0,08
CUADRADO A;1;0,11
CUB K;1;0,13
CUCCHIARA S;1;0,17
CUERVO-ZANATTA D;1;0,33
CUI D;1;0,17
CUI F;1;0,08
CUI L;1;0,06
CUI P;1;0,08
CUI X;1;0,05
CUI Y;1;0,08
CULIAT C;1;0,06
CULLEN A;1;0,1
CUNNINGHAM D;1;0,04
CURCIC B;1;0,5
CURTIS K;1;0,07
CUSANO R;1;0,08
CUTFIELD W;1;0,05
CUZZOCREA S;1;0,11
CZECH L;1;0,5
CÁRDENAS P;1;0,11
D'AMICO F;1;0,17
DA C D;1;0,07
DA S L;1;0,09
DADHANIA D;1;0,05
DADI T;1;0,17
DAHDOULI M;1;0,09
DAI D;1;0,1
DAI H;1;0,07
DAI L;1;0,2
DAI W;1;0,11
DAI X;1;0,2
DALBY M;1;0,08
DALIRI E;1;0,25
DALY R;1;0,08
DAMARAJU N;1;0,07
DAN K;1;0,17
DAN Z;1;0,06
DANG K;1;0,06
DANG Y;1;0,11
DANGOL B;1;0,07
DANIELSEN M;1;0,09
DARENSKAYA M;1;0,2
DARZI A;1;0,04
DAS M;1;0,25
DAS P;1;0,25
DAS S;1;0,14
DATORRE J;1;0,1
DAVE M;1;0,33
DAVID J;1;0,13
DAVID M;1;0,5
DAVID P;1;0,33
DAVIES C;1;0,17
DAVIES G;1;0,09
DAVIES P;1;0,25
DAVIGLUS M;1;0,08
DAVIS D;1;0,06
DAVIS M;1;0,09
DAVIS R;1;0,2
DE A P;1;0,08
DE A S;1;0,08
DE B M;1;0,25
DE B S;1;0,05
DE C A;1;0,1
DE C B;1;0,07
DE F C;1;0,06
DE F F;1;0,08
DE G L;1;0,03
DE J A;1;0,06
DE J P;1;0,2
DE K A;1;0,05
DE M P L;1;0,1
DE N L;1;0,11
DE P A;1;0,07
DE S S;1;0,33
DE V I;1;0,05
DEAN E;1;0,08
DEBES A;1;0,08
DEBÉDAT J;1;0,05
DECINA I;1;0,06
DEDOUSSIS G;1;0,08
DEEKE S;1;0,07
DEFELICE B;1;0,08
DEFFUR A;1;0,25
DEKKER E;1;0,17
DEL C R;1;0,2
DEL P A;1;0,11
DELEDDA A;1;0,08
DELGADO S;1;0,11
DELHAES L;1;0,13
DELIK A;1;0,2
DELL A;1;0,08
DELOUKAS P;1;0,08
DEMACHKI S;1;0,08
DEMCHENKO E;1;0,17
DEMPSEY E;1;0,1
DENAMUR E;1;0,07
DENG S;1;0,1
DEPPENMEIER U;1;0,5
DER S V;1;0,04
DERRAIK J;1;0,05
DESCORPS-DECLERE S;1;0,07
DESSEYN J;1;0,05
DEVKOTA S;1;1
DEVLIN J;1;0,05
DEWALT J;1;0,13
DEWHIRST F;1;0,14
DHUDASIA M;1;0,1
DI C A;1;0,14
DI G C;1;0,2
DI G M;1;0,25
DI R R;1;0,08
DIANA A;1;0,08
DIANTONIO A;1;0,07
DICHOSA A;1;0,07
DIETRICH A;1;0,08
DIETRICH O;1;0,08
DIETZ-PFEILSTETTER A;1;0,33
DIGGA E;1;0,02
DIJKSTRA G;1;0,08
DILMORE A;1;0,13
DIMITRIOU M;1;0,08
DINAN T;1;0,14
DING L;1;0,13
DING M;1;0,09
DING W;1;0,09
DINIS M;1;0,09
DINÇER S;1;0,2
DIOGUARDI C;1;0,06
DIOLETIS E;1;0,13
DIOP A;1;0,1
DISHAW L;1;0,2
DITTO M;1;0,07
DIWAN A;1;0,25
DJORIE S;1;0,05
DJURFELDT D;1;0,17
DO N W;1;0,08
DOBERER D;1;0,08
DODIYA H;1;0,11
DOGRU Y;1;0,07
DONATI-HIRSCH I;1;0,13
DONG H;1;0,07
DONG K;1;0,06
DONG L;1;0,08
DONG N;1;0,07
DONG T;1;0,09
DONG X;1;0,06
DONG Y;1;0,17
DONGHIA N;1;0,11
DONOHUE K;1;0,06
DONOVAN S;1;0,08
DORIA M;1;0,04
DORSETT Y;1;0,05
DORÉ J;1;0,13
DOS S G M;1;0,13
DOS S S;1;0,08
DOS S W;1;0,1
DOTAN I;1;0,08
DOTTA L;1;0,08
DOU C;1;0,08
DOU S;1;0,11
DOWD S;1;0,1
DRAPER L;1;0,11
DRAUTZ-MOSES D;1;0,08
DRIDER D;1;1
DROUILLARD S;1;0,13
DU G;1;0,1
DU H;1;0,09
DU M;1;0,09
DU Q;1;0,2
DU T E;1;0,25
DUAN H;1;0,08
DUAN J;1;0,09
DUAN L;1;0,2
DUAN X;1;0,14
DUAN Y;1;0,08
DUBEY A;1;0,14
DUBINSKY V;1;0,08
DUBOURG G;1;0,1
DUCHI D;1;0,11
DUGDALE H;1;0,17
DUNN M;1;0,06
DUPONT S;1;0,08
DUQUE J;1;0,14
DURBIN-JOHNSON B;1;0,08
DURDEVIC M;1;0,07
DURÃES R;1;0,1
DUSSURGET O;1;0,07
DUTILH B;1;0,2
DUTTA S;1;0,07
DUVVURU S;1;0,06
DY A;1;0,11
DYKES G;1;0,5
DZINK-FOX J;1;0,13
DÄULLARY T;1;0,08
DÍAZ-BENÍTEZ C;1;0,08
DÍEZ-FUERTES F;1;0,13
DÖSCHER N;1;0,08
DÖTSCH A;1;0,06
D’ALESSANDRO-GABAZZA C;1;0,07
D’AMELIO R;1;0,08
D’EUSEBIO C;1;0,07
D’SOUZA D;1;0,08
EASTON A;1;0,05
EBNER F;1;0,1
EBRAHIMI M;1;0,25
EDELMANN M;1;0,33
EDEN K;1;0,17
EDLUND A;1;0,09
EDUSEI E;1;0,05
EETEMADI A;1;0,17
EGELI U;1;0,13
EHRHARDT K;1;0,1
EHRLICH A;1;0,13
EHRLICH D;1;0,13
EIJSINK V;1;0,05
EISENHOFER R;1;0,33
EKBLAD C;1;0,05
EKPE K;1;0,05
EL A S;1;0,11
EL M J;1;0,09
ELBARCHA O;1;0,17
ELEBI A;1;0,25
ELIJAH E;1;0,13
ELMASSRY M;1;0,33
ELO L;1;0,11
ELODIE C;1;0,03
ELSAYED S;1;0,11
EL?SERAG H;1;0,13
EMLET C;1;0,33
ENAUD R;1;0,13
ENDRES K;1;0,13
ENGEN P;1;0,11
ENNS W;1;0,11
ER Y;1;0,05
ERAKSOY M;1;0,09
ERICSSON A;1;0,5
ERKKILA H;1;0,07
ERNST M;1;0,09
ERNST T;1;0,07
ERRAZQUIN N;1;0,05
ESPOSITO E;1;0,11
ESQUIVEL-HERNÁNDEZ D;1;0,17
ESSEX M;1;0,11
ESTELLAT C;1;0,09
ESTRADA V;1;0,06
EUTAMÈNE H;1;0,06
EVANS E;1;0,05
EVANS R;1;0,08
EZEJI J;1;0,07
F E I;1;0,14
FABER K;1;0,08
FACCHIN S;1;0,09
FADDA M;1;0,07
FAGAN A;1;0,08
FAGAN W;1;0,2
FAGERBERG L;1;0,05
FAGUNDES R;1;0,08
FAIBIS S;1;0,11
FAIRWEATHER-TAIT S;1;0,03
FAITS T;1;0,11
FALCÓN-PÉREZ J;1;0,05
FALL L;1;0,08
FALÀ A;1;0,2
FAN B;1;0,11
FAN D;1;0,05
FAN F;1;0,07
FAN L;1;0,17
FAN N;1;0,11
FAN Q;1;0,17
FAN R;1;0,14
FAN Z;1;0,17
FANG C;1;0,2
FANG J;1;0,03
FANG L;1;0,1
FANG S;1;0,04
FANG Y;1;0,08
FAREZ M;1;0,02
FARHAT A;1;0,33
FARNSWORTH C;1;0,11
FAROOQ U;1;0,13
FARRINGTON M;1;0,08
FARRIS J;1;0,07
FATIMA Z;1;0,33
FAYYAZ S;1;0,13
FEDARKO M;1;0,06
FEHSE L;1;0,06
FEI C;1;0,08
FEI D;1;0,2
FEIL E;1;0,06
FEIZI T;1;0,08
FELDBACHER N;1;0,07
FELIX J;1;0,03
FENG M;1;0,04
FENG P;1;0,13
FENG X;1;0,05
FENG Y;1;0,07
FENSKE R;1;0,06
FERNANDEZ M;1;0,05
FERNANDEZ-ALFARA M;1;0,05
FERNANDEZ-GARCÍA J;1;0,05
FERNANDO S;1;0,09
FERNÁNDEZ E;1;0,17
FERNÁNDEZ-CARRIÓN R;1;0,05
FERNÁNDEZ-EULATE G;1;0,05
FERRARI F;1;0,08
FERREIRA L;1;0,08
FERRERO G;1;0,08
FERROCINO I;1;0,07
FESKINS E;1;0,03
FEY C;1;0,08
FICARA M;1;0,08
FIEDLER T;1;0,1
FIELD R;1;0,13
FIELDS M;1;0,13
FIEVEZ F;1;0,14
FILIMONOV D;1;0,17
FILIPPONE A;1;0,11
FILLOUX A;1;0,2
FILZMOSER P;1;0,5
FINKELSTEIN J;1;0,06
FINLAY B;1;0,05
FINN R;1;0,06
FINUCCI A;1;0,07
FIRRMAN J;1;0,13
FISCHER C;1;0,08
FITO M;1;0,05
FLANAGAN B;1;0,17
FLORES N;1;0,11
FLYNN R;1;0,08
FODOR A;1;0,08
FOGELHOLM M;1;0,08
FONTANA R;1;0,06
FOOKES M;1;0,08
FORBES-BLOM E;1;0,05
FORBES-HERNÁNDEZ T;1;0,14
FORD A;1;0,09
FOREST C;1;0,17
FORNARO G;1;0,08
FORNASINI M;1;0,11
FORSTER S;1;0,06
FORSYTH C;1;0,11
FORTINGUERRA S;1;0,25
FOSTER C;1;0,06
FOURNIER P;1;0,1
FOURRE S;1;0,06
FOX J;1;0,13
FRACZKIEWICZ J;1;0,06
FRANCAVILLA A;1;0,08
FRANCE M;1;0,06
FRANCESCHI D;1;0,14
FRANCESCHINI N;1;0,08
FRANKE K;1;0,25
FRANKE T;1;0,5
FRANKEL A;1;0,25
FRANKLIN C;1;0,5
FRIEDRICH A;1;0,06
FRITZSCHE M;1;0,14
FU B;1;0,06
FU E;1;0,08
FU G;1;0,06
FU J;1;0,07
FU R;1;0,17
FU S;1;0,17
FU T;1;0,11
FU W;1;0,04
FU Y;1;0,13
FUCHS M;1;0,08
FUCHS S;1;0,02
FUENTES S;1;0,09
FULCI V;1;0,17
FULLER M;1;0,06
FULTZ R;1;0,2
FUREY N;1;0,2
FURUTA Y;1;0,11
FUSARO E;1;0,07
FUSHINOBU S;1;0,07
GABALDÓN T;1;0,13
GABAZZA E;1;0,07
GABINAUD B;1;0,06
GACHET B;1;0,09
GADARA D;1;0,11
GAHAN C;1;0,2
GAIBANI P;1;0,08
GAINA G;1;0,2
GAJER P;1;0,06
GALANIS A;1;0,13
GALATA V;1;0,11
GALEEV A;1;0,1
GALIÈ S;1;0,05
GALLARDO-BECERRA L;1;0,25
GALLEGO J;1;0,05
GALLUCCIO J;1;0,11
GAMAGE H;1;0,2
GAMBLIN C;1;0,05
GAMIAN A;1;0,5
GAN J;1;0,14
GAN X;1;0,1
GANZHORN J;1;0,17
GAO D;1;0,14
GAO F;1;0,1
GAO G;1;0,1
GAO H;1;0,03
GAO J;1;0,09
GAO N;1;0,13
GAO R;1;0,1
GAO T;1;0,05
GARCIA-MANTRANA I;1;0,25
GARCIA-MAZCORRO J;1;0,1
GARCIA-MENA J;1;0,33
GARCIA-PRAS E;1;0,05
GARCIA-RODRIGUEZ A;1;0,1
GARCÉS D;1;0,11
GARCÍA F;1;0,13
GARCÍA-BELENGUER S;1;0,17
GARCÍA-COBOS S;1;0,06
GARDINER L;1;0,13
GARGOURI A;1;0,09
GARRETT W;1;0,33
GARRIGA-GARCÍA M;1;0,2
GARSSEN J;1;0,11
GARUD N;1;0,5
GARZETTI D;1;0,08
GASC C;1;0,17
GASKINS H;1;0,11
GASPERINI C;1;0,05
GATERMANN S;1;0,13
GATSE A;1;0,05
GAULKE C;1;0,17
GAUTHIER J;1;0,08
GAUTIER R;1;0,06
GAVIS E;1;0,08
GAÏA N;1;0,09
GE A;1;0,17
GE H;1;0,14
GE X;1;0,17
GE Z;1;0,2
GEIGER G;1;0,1
GELFAND J;1;0,02
GELLMAN M;1;0,08
GELPI J;1;0,03
GEMMELL C;1;0,06
GENG G;1;0,06
GENG J;1;0,07
GENG S;1;0,17
GENSER L;1;0,05
GENTEKAKI E;1;0,13
GENTILE A;1;0,06
GERBER G;1;0,14
GERBER S;1;0,13
GERDES L;1;0,02
GERDES V;1;0,25
GERLINGER M;1;0,04
GERVIS J;1;0,11
GHANNOUM M;1;0,2
GHAZAL H;1;0,11
GHEZZI L;1;0,05
GHIGO E;1;0,07
GHOSH S;1;0,07
GHUGRE P;1;0,06
GHYSELINCK J;1;0,17
GIACOBBE J;1;0,03
GIAMPIERI E;1;0,03
GIAMPIERI F;1;0,14
GIANETTO-HILL C;1;0,06
GIANNARI D;1;0,33
GIANNELLA M;1;0,08
GIANNONE R;1;0,02
GIAVARINI F;1;0,06
GIDLEY M;1;0,17
GILL P;1;0,11
GILLEVET P;1;0,08
GILLIS C;1;0,09
GIOFFREDA D;1;0,06
GIRARD M;1;0,09
GIRDHAR K;1;0,07
GIROTRA M;1;0,14
GIUFFRÈ L;1;0,11
GLASER P;1;0,07
GLAZE D;1;0,09
GLUCKMAN P;1;0,07
GODNY L;1;0,08
GODY J;1;0,05
GOITRE I;1;0,07
GOLAN N;1;0,08
GOLDIN R;1;0,04
GOLOVICHEVA V;1;0,05
GOLUBEVA A;1;0,09
GOMEZ R;1;0,02
GOMEZ-PEREZ A;1;0,05
GOMEZ-ROMERO M;1;0,04
GONDJE B;1;0,05
GONG C;1;0,05
GONZALEZ E;1;0,25
GONZÁLEZ B M;1;0,03
GONZÁLEZ P A;1;0,02
GONZÁLEZ-CORREA C;1;0,08
GOOD C;1;0,07
GOODSON M;1;0,2
GOPALKRISHNA;1;0,25
GOPHNA U;1;0,08
GORAYA M;1;0,17
GORDON J;1;0,07
GORKIEWICZ G;1;0,17
GORMLEY M;1;0,05
GORYANIN I;1;0,33
GOSALBES M;1;0,06
GOTOH A;1;0,07
GOTTARDI F;1;0,06
GOTTELAND M;1;0,17
GOTTRAND F;1;0,05
GOU H;1;0,2
GOUW J;1;0,13
GOVI B;1;0,11
GOVILLARD L;1;0,05
GOÑI I;1;0,11
GRADISTEANU-PIRCALABIORU G;1;0,2
GRANICA S;1;0,17
GRANT K;1;0,13
GRASA L;1;0,17
GRASSL G;1;0,1
GRAU J;1;0,06
GRAVES J;1;0,02
GRAY J;1;0,13
GRAY-OWEN S;1;0,06
GREEN S;1;0,11
GREENHALGH D;1;0,2
GREGERSEN N;1;0,1
GRICOURT G;1;0,05
GRIFFIN T;1;0,02
GRIGORE L;1;0,06
GRIGORIOU E;1;0,08
GRIGOR’EVA I;1;0,17
GRIONI S;1;0,08
GROMBI?ÍKOVÁ H;1;0,08
GRUBA N;1;0,09
GRUBE-PAGOLA P;1;0,1
GRUSON D;1;0,13
GU H;1;0,08
GU L;1;0,17
GU M;1;0,14
GU Q;1;0,08
GU T;1;0,11
GU W;1;0,08
GU Z;1;0,11
GUADAGNINI D;1;0,11
GUAN M;1;0,09
GUAN X;1;0,1
GUARDADO-MENDOZA R;1;0,17
GUDA C;1;0,2
GUENOU E;1;0,08
GUERRA-HERNÁNDEZ E;1;0,07
GUIDARELLI G;1;0,05
GUIJA-POMA E;1;0,07
GUIMARÃES A;1;0,07
GUIMARÃES D;1;0,1
GUIMARÃES V;1;0,07
GUINO E;1;0,1
GUINTO E;1;0,11
GUL F;1;0,11
GUMBI W;1;0,13
GUNDERSON C;1;0,09
GUNGOR C;1;0,05
GUO B;1;0,08
GUO D;1;0,07
GUO G;1;0,2
GUPTA U;1;0,14
GUR?U F;1;0,11
GUSSOW A;1;0,13
GUTHERY E;1;0,06
GUTHRIE L;1;0,08
GUTIERREZ M;1;0,07
GUTIÉRREZ-MICELI F;1;0,11
GUTIÉRREZ-SARMIENTO W;1;0,11
GWAK H;1;0,5
GÓMEZ J;1;0,11
GÓNZALEZ E;1;0,05
GÜELL M;1;0,13
HAAG A;1;0,09
HAAS J;1;0,06
HADZEGA D;1;0,08
HAGEN L;1;0,02
HAGSTRØM S;1;0,09
HAHM D;1;0,25
HAIHONG L;1;0,13
HAIMINEN N;1;0,13
HAKIM D;1;0,02
HALLER D;1;0,08
HALWACHS B;1;0,17
HAMDI S;1;0,11
HAMEED A;1;0,17
HAMEED S;1;0,33
HAMIDI B;1;0,33
HAMILTON A;1;0,05
HAMILTON J;1;0,14
HAMMER T;1;0,1
HAN D;1;0,1
HAN F;1;0,09
HAN H;1;0,08
HAN K;1;0,09
HAN L;1;0,14
HAN P;1;0,13
HAN W;1;0,11
HANA C;1;0,08
HANDA O;1;0,11
HANG P;1;0,09
HANKELN T;1;0,13
HANOVER J;1;0,33
HANSEN A;1;0,09
HANSEN C;1;0,09
HANSEN L;1;0,09
HAO F;1;0,17
HAO H;1;0,1
HAO J;1;0,1
HAO M;1;0,08
HARA K;1;0,14
HARCOURT K;1;0,07
HARKE S;1;0,25
HARMSEN H;1;0,08
HAROKOPOS V;1;0,13
HARROUD A;1;0,02
HARTMAN E;1;0,1
HARTMANN S;1;0,1
HASEGAWA A;1;0,14
HASHIMOTO K;1;0,5
HASLAM S;1;0,08
HASÇELIK G;1;0,33
HATT J;1;0,11
HATZIS P;1;0,13
HAUNER H;1;0,08
HAUSER S;1;0,02
HAWKEY P;1;0,09
HAYANI R;1;0,1
HAYES R;1;0,13
HE G;1;0,09
HE K;1;0,14
HE M;1;0,2
HE Q;1;0,09
HE T;1;0,08
HE W;1;0,1
HEATH K;1;0,09
HEAVENS D;1;0,08
HEGAZY S;1;0,33
HEIDER D;1;0,06
HEIDRICH B;1;0,08
HEIL K;1;0,03
HEINKEN A;1;0,11
HEINLE C;1;0,08
HEITLINGER E;1;0,1
HELANDER M;1;0,14
HELBERT W;1;0,13
HELFERICH W;1;0,08
HELMS M;1;0,08
HENDERSON I;1;0,33
HENRIKSEN C;1;0,11
HENRISSAT B;1;0,13
HEPP L;1;0,08
HERAULT Y;1;0,03
HERBOLD C;1;0,08
HERENDI L;1;0,04
HERMAN C;1;0,08
HERMAN L;1;0,07
HERMANS N;1;0,11
HERMES G;1;0,03
HERNANDEZ-FLORES K;1;0,1
HERPERTZ S;1;0,13
HERTEL J;1;0,11
HEYER R;1;0,02
HIDALGO-CANTABRANA C;1;0,11
HIGGINBOTTOM S;1;0,08
HILDEBRAND F;1;0,17
HILTY M;1;0,14
HINDERSSON P;1;0,09
HIRATA K;1;0,33
HIRSCH A;1;0,08
HIRSCH J;1;0,13
HIRSCHFIELD G;1;0,07
HO C;1;0,33
HO N;1;0,25
HOBSON C;1;0,09
HOCH K;1;0,09
HODGKINSON J;1;0,14
HOFFMAN K;1;0,13
HOFMAN P;1;0,05
HOFMANN J;1;0,1
HOGENAUER C;1;0,17
HOLM M;1;0,08
HOLMES A;1;0,11
HONAP T;1;0,07
HONDA C;1;0,09
HONG J;1;0,08
HONG M;1;0,06
HONG S;1;0,14
HONG Y;1;0,08
HOOD L;1;0,05
HOOZEMANS J;1;0,25
HOPPERTON A;1;0,07
HOPSON L;1;0,13
HORNIBLOW R;1;0,07
HORVATH A;1;0,07
HOSOKAWA M;1;0,13
HOU H;1;0,09
HOU K;1;0,07
HOU M;1;0,17
HOU S;1;0,17
HOU Y;1;0,08
HOU Z;1;0,1
HOWARD T;1;0,11
HOWITT M;1;0,33
HROMADA S;1;0,14
HSIEH Y;1;0,17
HU A;1;0,1
HU C;1;0,25
HU Q;1;0,1
HUA H;1;0,17
HUA X;1;0,07
HUA Y;1;0,03
HUANG E;1;0,1
HUANG M;1;0,2
HUANG P;1;0,09
HUANG T;1;0,08
HUBAR V;1;0,13
HUDLIKAR R;1;0,13
HUESO T;1;0,05
HUESTON C;1;0,11
HUEY S;1;0,06
HUG L;1;0,25
HUGENHOLTZ P;1;0,14
HUGHES D;1;0,04
HUGHES E;1;0,09
HUI D;1;0,06
HUI T;1;0,1
HULLAR M;1;0,07
HUMPHREY G;1;0,02
HUMPHREYS I;1;0,17
HUMPHRYS M;1;0,06
HUNG L;1;0,08
HUO J;1;0,13
